policy_id,customer_id,policy_type,premium,sum_assured,tenure_months,start_date,end_date,channel,product_name
27,2058,Health,6304.0,2731888,54,2024-02-16,2028-07-24,Aggregator,Pol-Health
28,3903,Crop,4802.0,7990273,50,2023-06-26,2027-08-04,Agent,Pol-Crop
29,3123,Motor,10004.0,4776284,6,2024-10-07,2025-04-05,Agent,Pol-Motor
30,2767,Motor,5890.0,69536894,17,2023-05-24,2024-10-15,Agent,Pol-Motor
31,2155,Motor,16077.0,9694011,23,2024-02-13,2026-01-03,Agent,Pol-Motor
32,4867,Motor,2214.0,6118828,25,2024-06-07,2026-06-27,Online,Pol-Motor
33,1730,Motor,5866.0,17324993,19,2025-02-02,2026-08-26,Online,Pol-Motor
34,4586,Crop,8784.0,13280688,52,2023-06-19,2027-09-26,Online,Pol-Crop
35,2723,Property,5515.0,6356839,29,2025-07-12,2027-11-29,Online,Pol-Property
36,4571,Motor,15775.0,83581023,31,2023-10-12,2026-04-29,Agent,Pol-Motor
37,4677,Property,8691.0,15253101,6,2025-04-01,2025-09-28,Aggregator,Pol-Property
38,2895,Health,5585.0,1978143,37,2023-12-13,2026-12-27,Aggregator,Pol-Health
39,3364,Motor,8850.0,3991130,34,2025-08-30,2028-06-15,Agent,Pol-Motor
40,1841,Motor,3845.0,1075655,24,2024-04-08,2026-03-29,Aggregator,Pol-Motor
41,1962,Motor,10155.0,1442658,58,2024-08-20,2029-05-26,Partnership,Pol-Motor
42,4425,Property,15186.0,79008462,10,2025-02-26,2025-12-23,Partnership,Pol-Property
43,4863,Motor,7271.0,18193130,58,2025-02-01,2029-11-07,Bancassurance,Pol-Motor
44,4602,Motor,7806.0,1183771,59,2023-10-16,2028-08-20,Bancassurance,Pol-Motor
45,2676,Motor,4452.0,5362944,11,2024-12-11,2025-11-06,Online,Pol-Motor
46,1940,Crop,5355.0,3913360,24,2023-08-16,2025-08-05,Online,Pol-Crop
47,4574,Property,13243.0,58614249,2,2024-05-06,2024-07-05,Partnership,Pol-Property
48,14,Health,7379.0,647284,50,2024-01-28,2028-03-07,Online,Pol-Health
49,4823,Travel,23856.0,3043962,58,2023-04-26,2028-01-30,Bancassurance,Pol-Travel
50,3059,Motor,10422.0,3072908,29,2024-01-30,2026-06-18,Agent,Pol-Motor
51,746,Health,4416.0,2836862,16,2023-12-11,2025-04-04,Partnership,Pol-Health
52,2011,Motor,24710.0,6796823,23,2023-10-16,2025-09-05,Aggregator,Pol-Motor
53,2614,Motor,3811.0,11988462,35,2024-07-07,2027-05-23,Agent,Pol-Motor
54,4571,Crop,6424.0,3371899,57,2025-05-28,2030-02-01,Online,Pol-Crop
55,2947,Property,8491.0,5029088,43,2025-05-01,2028-11-11,Online,Pol-Property
56,4620,Motor,9107.0,2282399,22,2023-08-14,2025-06-04,Aggregator,Pol-Motor
57,3183,Motor,5713.0,2455191,35,2023-11-11,2026-09-26,Agent,Pol-Motor
58,3487,Motor,7827.0,7802858,6,2024-11-29,2025-05-28,Partnership,Pol-Motor
59,4507,Property,15166.0,9065978,56,2024-06-20,2029-01-25,Agent,Pol-Property
60,4079,Motor,15273.0,1024942,23,2025-05-31,2027-04-21,Agent,Pol-Motor
61,1908,Health,19374.0,2797689,23,2024-09-11,2026-08-02,Bancassurance,Pol-Health
62,3992,Crop,5042.0,4031179,30,2025-09-01,2028-02-18,Aggregator,Pol-Crop
63,1648,Motor,9017.0,3810224,37,2024-02-15,2027-03-01,Aggregator,Pol-Motor
64,4777,Crop,9769.0,4249886,42,2024-05-12,2027-10-24,Partnership,Pol-Crop
65,2664,Motor,3123.0,563495,20,2024-04-25,2025-12-16,Agent,Pol-Motor
66,1883,Health,6665.0,14150204,11,2023-08-11,2024-07-06,Bancassurance,Pol-Health
67,329,Property,10259.0,5028344,24,2024-10-16,2026-10-06,Agent,Pol-Property
68,4368,Health,7211.0,67470706,57,2023-03-18,2027-11-22,Aggregator,Pol-Health
69,4271,Motor,5515.0,9486926,18,2023-02-10,2024-08-03,Online,Pol-Motor
70,2206,Travel,9364.0,7605167,27,2025-04-27,2027-07-16,Bancassurance,Pol-Travel
71,4718,Motor,14227.0,2491983,53,2023-08-10,2027-12-17,Agent,Pol-Motor
72,1688,Health,8551.0,3193187,7,2025-09-03,2026-04-01,Aggregator,Pol-Health
73,4330,Motor,2630.0,11097622,48,2023-07-29,2027-07-08,Agent,Pol-Motor
74,4237,Health,14095.0,4201893,21,2024-02-09,2025-10-31,Partnership,Pol-Health
75,2167,Health,4072.0,2888063,56,2023-12-18,2028-07-24,Online,Pol-Health
76,382,Health,4275.0,29512124,15,2024-04-04,2025-06-28,Agent,Pol-Health
77,3593,Motor,8751.0,7537733,8,2024-09-22,2025-05-20,Agent,Pol-Motor
78,1434,Health,8810.0,11013185,28,2023-02-26,2025-06-15,Agent,Pol-Health
79,4145,Motor,5549.0,4087497,21,2025-02-07,2026-10-30,Online,Pol-Motor
80,3882,Motor,11099.0,16155751,8,2025-04-24,2025-12-20,Agent,Pol-Motor
81,3442,Health,7601.0,3344102,28,2024-12-12,2027-04-01,Online,Pol-Health
82,3405,Health,3540.0,15735010,34,2023-02-13,2025-11-29,Online,Pol-Health
83,4245,Motor,4622.0,3600154,47,2025-01-22,2028-12-02,Aggregator,Pol-Motor
84,2205,Health,6562.0,23472833,15,2023-09-07,2024-11-30,Agent,Pol-Health
85,2200,Health,7762.0,17536406,44,2025-04-25,2028-12-05,Agent,Pol-Health
86,3533,Motor,5796.0,3696634,43,2023-03-21,2026-10-01,Partnership,Pol-Motor
87,4472,Health,3015.0,41768808,37,2024-07-15,2027-07-30,Online,Pol-Health
88,2730,Travel,5336.0,6141800,53,2025-02-25,2029-07-04,Agent,Pol-Travel
89,596,Health,10536.0,25423842,27,2024-08-08,2026-10-27,Agent,Pol-Health
90,3911,Property,7821.0,1968086,41,2023-07-10,2026-11-21,Agent,Pol-Property
91,3497,Motor,12019.0,10169581,26,2023-08-11,2025-09-29,Bancassurance,Pol-Motor
92,3120,Property,11196.0,7737494,12,2025-09-22,2026-09-17,Agent,Pol-Property
93,3801,Health,3181.0,3805552,34,2025-08-20,2028-06-05,Bancassurance,Pol-Health
94,2637,Health,5426.0,12831531,31,2023-05-10,2025-11-25,Bancassurance,Pol-Health
95,3071,Crop,10666.0,17458299,3,2024-04-29,2024-07-28,Online,Pol-Crop
96,2824,Motor,9694.0,8756462,26,2023-05-26,2025-07-14,Partnership,Pol-Motor
97,1493,Motor,9668.0,7697198,57,2023-05-22,2028-01-26,Aggregator,Pol-Motor
98,3317,Motor,12434.0,6861560,54,2025-08-19,2030-01-25,Agent,Pol-Motor
99,3903,Property,14277.0,8659952,6,2024-10-25,2025-04-23,Bancassurance,Pol-Property
100,2310,Crop,3159.0,11101169,58,2023-11-14,2028-08-19,Online,Pol-Crop
101,4938,Health,6121.0,10610095,20,2024-07-31,2026-03-23,Bancassurance,Pol-Health
102,4585,Motor,10437.0,9325308,51,2023-01-24,2027-04-03,Agent,Pol-Motor
103,3861,Health,11161.0,3622822,40,2025-08-31,2028-12-13,Agent,Pol-Health
104,3214,Motor,18021.0,13403419,17,2024-11-26,2026-04-20,Agent,Pol-Motor
105,3297,Motor,15876.0,9068830,41,2023-09-14,2027-01-26,Aggregator,Pol-Motor
106,3593,Motor,13367.0,7656182,1,2023-02-15,2023-03-17,Online,Pol-Motor
107,1524,Health,5947.0,4427746,13,2024-09-20,2025-10-15,Online,Pol-Health
108,3556,Health,11548.0,13144563,18,2024-08-09,2026-01-31,Bancassurance,Pol-Health
109,4260,Motor,20349.0,860654,52,2024-06-10,2028-09-17,Partnership,Pol-Motor
110,975,Health,16003.0,5131046,21,2025-06-07,2027-02-27,Aggregator,Pol-Health
111,1671,Travel,9128.0,3803027,52,2024-01-27,2028-05-05,Agent,Pol-Travel
112,4230,Motor,15596.0,3515784,12,2025-07-13,2026-07-08,Online,Pol-Motor
113,4806,Health,8463.0,4260640,44,2024-05-21,2028-01-01,Agent,Pol-Health
114,3895,Health,8512.0,2130051,12,2023-10-13,2024-10-07,Agent,Pol-Health
115,2804,Travel,6774.0,3952581,26,2025-01-15,2027-03-06,Agent,Pol-Travel
116,1532,Health,3790.0,1870437,42,2025-05-06,2028-10-17,Aggregator,Pol-Health
117,3817,Health,12223.0,7826508,40,2025-04-14,2028-07-27,Agent,Pol-Health
118,2213,Property,7218.0,12582662,28,2023-09-14,2026-01-01,Aggregator,Pol-Property
119,4657,Motor,8161.0,13883784,44,2025-09-13,2029-04-25,Partnership,Pol-Motor
120,4080,Health,9803.0,8831229,25,2024-10-25,2026-11-14,Agent,Pol-Health
121,582,Health,5688.0,3253259,21,2025-03-02,2026-11-22,Online,Pol-Health
122,3558,Health,11801.0,1992825,48,2023-04-14,2027-03-24,Partnership,Pol-Health
123,3530,Motor,7057.0,2999907,50,2023-05-11,2027-06-19,Aggregator,Pol-Motor
124,2383,Motor,7200.0,4052296,49,2024-03-24,2028-04-02,Online,Pol-Motor
125,2685,Motor,1552.0,3055923,11,2024-07-22,2025-06-17,Partnership,Pol-Motor
126,231,Property,8206.0,47961329,9,2023-11-23,2024-08-19,Online,Pol-Property
127,1884,Travel,4771.0,10164463,53,2025-02-28,2029-07-07,Agent,Pol-Travel
128,4099,Motor,6359.0,9077264,35,2024-09-22,2027-08-08,Aggregator,Pol-Motor
129,1912,Motor,5172.0,7129137,36,2024-01-09,2026-12-24,Online,Pol-Motor
130,685,Travel,5340.0,3428042,49,2023-09-24,2027-10-03,Online,Pol-Travel
131,4177,Health,6795.0,6100665,29,2024-03-27,2026-08-14,Online,Pol-Health
132,1956,Crop,9711.0,10090517,40,2023-03-23,2026-07-05,Partnership,Pol-Crop
133,1299,Motor,16067.0,12839246,17,2024-01-30,2025-06-23,Agent,Pol-Motor
134,4484,Property,8226.0,7042803,37,2025-01-06,2028-01-21,Online,Pol-Property
135,4923,Property,6045.0,10707801,48,2023-04-17,2027-03-27,Aggregator,Pol-Property
136,1369,Motor,6478.0,3499756,49,2024-09-08,2028-09-17,Online,Pol-Motor
137,2267,Motor,12221.0,1310995,8,2024-07-31,2025-03-28,Agent,Pol-Motor
138,652,Motor,9409.0,17603069,53,2024-03-13,2028-07-20,Aggregator,Pol-Motor
139,2111,Motor,4052.0,3155429,44,2024-12-27,2028-08-08,Online,Pol-Motor
140,3099,Travel,5346.0,3143550,47,2025-09-11,2029-07-22,Aggregator,Pol-Travel
141,2756,Motor,7648.0,2445614,5,2024-06-04,2024-11-01,Agent,Pol-Motor
142,3736,Property,6772.0,7115448,23,2024-06-15,2026-05-06,Online,Pol-Property
143,4049,Property,5610.0,3320125,54,2024-09-13,2029-02-19,Bancassurance,Pol-Property
144,1178,Motor,6723.0,20568730,10,2025-01-20,2025-11-16,Agent,Pol-Motor
145,2258,Health,8510.0,20082049,47,2025-02-15,2028-12-26,Aggregator,Pol-Health
146,1043,Motor,8964.0,7641174,41,2024-12-01,2028-04-14,Partnership,Pol-Motor
147,2557,Motor,7551.0,2873327,47,2025-06-29,2029-05-09,Online,Pol-Motor
148,3685,Travel,11724.0,28729266,15,2024-07-26,2025-10-19,Online,Pol-Travel
149,2936,Motor,9263.0,15231353,16,2025-02-02,2026-05-28,Partnership,Pol-Motor
150,1624,Motor,4443.0,2960280,27,2025-07-18,2027-10-06,Online,Pol-Motor
151,2085,Property,6243.0,7890949,59,2024-10-01,2029-08-06,Agent,Pol-Property
152,2455,Health,6896.0,6982125,32,2025-09-01,2028-04-18,Bancassurance,Pol-Health
153,2472,Health,6835.0,9159661,56,2023-12-19,2028-07-25,Online,Pol-Health
154,4779,Crop,4977.0,6157462,40,2025-01-17,2028-05-01,Aggregator,Pol-Crop
155,2386,Motor,5620.0,5503012,51,2024-10-23,2028-12-31,Aggregator,Pol-Motor
156,1295,Property,11607.0,75891942,45,2023-06-29,2027-03-10,Agent,Pol-Property
157,4069,Crop,4511.0,9228308,46,2025-09-22,2029-07-03,Agent,Pol-Crop
158,919,Motor,6383.0,3005720,35,2025-04-24,2028-03-09,Online,Pol-Motor
159,4748,Health,13816.0,3803136,37,2024-05-24,2027-06-08,Aggregator,Pol-Health
160,1604,Motor,7130.0,29696385,24,2023-06-19,2025-06-08,Online,Pol-Motor
161,2996,Motor,24428.0,4182564,31,2024-06-09,2026-12-26,Online,Pol-Motor
162,3387,Health,16581.0,2456282,51,2024-09-28,2028-12-06,Agent,Pol-Health
163,1082,Health,2495.0,6015118,35,2024-09-09,2027-07-26,Online,Pol-Health
164,376,Crop,4285.0,4858516,16,2025-01-16,2026-05-11,Agent,Pol-Crop
165,1409,Health,7622.0,20297450,40,2023-01-15,2026-04-29,Partnership,Pol-Health
166,2104,Crop,6306.0,24107165,36,2023-02-02,2026-01-17,Agent,Pol-Crop
167,17,Motor,10500.0,4430609,12,2024-05-16,2025-05-11,Aggregator,Pol-Motor
168,433,Motor,10199.0,12207979,16,2024-01-22,2025-05-16,Aggregator,Pol-Motor
169,4051,Travel,3466.0,5157931,49,2023-09-20,2027-09-29,Partnership,Pol-Travel
170,237,Crop,13204.0,2814405,5,2023-10-29,2024-03-27,Online,Pol-Crop
171,307,Motor,19302.0,29243406,47,2025-08-02,2029-06-12,Online,Pol-Motor
172,4529,Health,3719.0,33827703,5,2024-02-28,2024-07-27,Aggregator,Pol-Health
173,24,Motor,6080.0,8030780,20,2023-02-10,2024-10-02,Bancassurance,Pol-Motor
174,3310,Health,6250.0,3335665,48,2023-09-01,2027-08-11,Aggregator,Pol-Health
175,1014,Crop,13723.0,2432245,38,2023-02-22,2026-04-07,Online,Pol-Crop
176,681,Property,15643.0,10672929,36,2024-07-21,2027-07-06,Aggregator,Pol-Property
177,1849,Motor,5910.0,19547747,55,2023-03-10,2027-09-15,Aggregator,Pol-Motor
178,1516,Motor,5832.0,6765433,32,2023-10-09,2026-05-26,Agent,Pol-Motor
179,952,Motor,12189.0,15997139,40,2024-01-07,2027-04-21,Agent,Pol-Motor
180,415,Property,6607.0,4934848,11,2024-04-29,2025-03-25,Aggregator,Pol-Property
181,4849,Health,8217.0,3623536,11,2023-09-15,2024-08-10,Online,Pol-Health
182,1424,Travel,11846.0,7573094,43,2023-11-02,2027-05-15,Agent,Pol-Travel
183,4512,Property,10575.0,986906,49,2023-05-05,2027-05-14,Aggregator,Pol-Property
184,4972,Motor,8481.0,3899014,28,2025-02-07,2027-05-28,Online,Pol-Motor
185,4986,Property,3809.0,12643942,12,2023-03-09,2024-03-03,Aggregator,Pol-Property
186,4773,Health,9908.0,680890,46,2025-07-12,2029-04-22,Aggregator,Pol-Health
187,2448,Motor,12049.0,1907814,31,2024-09-09,2027-03-28,Online,Pol-Motor
188,2189,Motor,10691.0,5379410,40,2024-01-11,2027-04-25,Online,Pol-Motor
189,3192,Travel,3691.0,2075220,30,2025-06-08,2027-11-25,Online,Pol-Travel
190,450,Health,11051.0,3959778,20,2023-02-27,2024-10-19,Online,Pol-Health
191,2936,Property,5152.0,973606,27,2023-02-27,2025-05-17,Agent,Pol-Property
192,3177,Health,2206.0,10822886,25,2023-05-18,2025-06-06,Aggregator,Pol-Health
193,4946,Motor,6787.0,16278383,50,2023-05-23,2027-07-01,Agent,Pol-Motor
194,92,Property,4134.0,1551009,34,2023-10-01,2026-07-17,Agent,Pol-Property
195,4517,Crop,7325.0,7372180,35,2025-01-19,2027-12-05,Online,Pol-Crop
196,2600,Motor,3929.0,5080296,43,2025-07-23,2029-02-02,Aggregator,Pol-Motor
197,2952,Motor,6597.0,9220368,54,2024-12-03,2029-05-11,Partnership,Pol-Motor
198,3126,Health,3256.0,22928667,52,2023-05-20,2027-08-27,Aggregator,Pol-Health
199,3719,Motor,5230.0,2174492,5,2023-07-19,2023-12-16,Agent,Pol-Motor
200,1538,Property,8675.0,18894229,40,2025-06-12,2028-09-24,Agent,Pol-Property
201,3169,Motor,17763.0,27858291,39,2024-11-12,2028-01-26,Partnership,Pol-Motor
202,1896,Property,6375.0,1277748,8,2024-07-30,2025-03-27,Agent,Pol-Property
203,185,Health,7283.0,14823763,19,2024-11-05,2026-05-29,Aggregator,Pol-Health
204,1457,Motor,10928.0,2808738,43,2023-11-22,2027-06-04,Aggregator,Pol-Motor
205,1495,Motor,8979.0,10818712,18,2025-01-28,2026-07-22,Aggregator,Pol-Motor
206,1149,Motor,9210.0,3004571,54,2023-02-15,2027-07-24,Online,Pol-Motor
207,3406,Motor,10399.0,3702596,16,2023-05-24,2024-09-15,Aggregator,Pol-Motor
208,1288,Property,6061.0,3395222,19,2025-07-05,2027-01-26,Aggregator,Pol-Property
209,4948,Motor,4946.0,2560162,15,2024-07-20,2025-10-13,Aggregator,Pol-Motor
210,2239,Health,8430.0,11940483,29,2025-02-19,2027-07-09,Aggregator,Pol-Health
211,1874,Health,2287.0,9404452,15,2025-06-20,2026-09-13,Bancassurance,Pol-Health
212,1751,Motor,2626.0,9619413,29,2023-12-25,2026-05-13,Partnership,Pol-Motor
213,1245,Health,15487.0,4369187,17,2023-04-26,2024-09-17,Online,Pol-Health
214,2247,Property,12935.0,4783423,15,2024-02-17,2025-05-12,Bancassurance,Pol-Property
215,174,Motor,5220.0,8524357,40,2023-05-10,2026-08-22,Online,Pol-Motor
216,4313,Health,3964.0,2941145,11,2024-01-11,2024-12-06,Online,Pol-Health
217,3278,Motor,9616.0,3910395,3,2023-11-01,2024-01-30,Online,Pol-Motor
218,2022,Motor,10421.0,13964374,13,2025-04-15,2026-05-10,Agent,Pol-Motor
219,1397,Motor,4693.0,8621171,38,2025-05-01,2028-06-14,Agent,Pol-Motor
220,174,Motor,6882.0,17225369,9,2023-02-18,2023-11-15,Bancassurance,Pol-Motor
221,3395,Property,2978.0,623476,55,2023-05-16,2027-11-21,Agent,Pol-Property
222,2624,Health,5887.0,22754836,20,2023-07-01,2025-02-20,Aggregator,Pol-Health
223,2889,Motor,6516.0,13962023,54,2023-01-02,2027-06-10,Partnership,Pol-Motor
224,2247,Health,7953.0,14197569,48,2025-06-18,2029-05-28,Online,Pol-Health
225,3079,Health,22200.0,1420666,26,2024-09-22,2026-11-11,Online,Pol-Health
226,3052,Motor,4066.0,3688938,57,2024-05-03,2029-01-07,Agent,Pol-Motor
227,4730,Property,15539.0,4136418,12,2025-05-20,2026-05-15,Partnership,Pol-Property
228,1700,Motor,5482.0,7055400,49,2024-08-16,2028-08-25,Aggregator,Pol-Motor
229,963,Crop,5210.0,30009355,31,2023-06-23,2026-01-08,Agent,Pol-Crop
230,3092,Motor,12360.0,7297541,2,2024-06-28,2024-08-27,Online,Pol-Motor
231,3785,Health,5172.0,17432069,33,2024-06-05,2027-02-20,Online,Pol-Health
232,1845,Travel,4697.0,21258369,16,2025-04-08,2026-08-01,Bancassurance,Pol-Travel
233,4694,Property,9939.0,11286534,5,2024-09-06,2025-02-03,Online,Pol-Property
234,3252,Motor,9285.0,7420370,53,2024-03-16,2028-07-23,Aggregator,Pol-Motor
235,1751,Health,5627.0,18489656,17,2023-03-23,2024-08-14,Aggregator,Pol-Health
236,893,Motor,18005.0,1465800,59,2025-09-05,2030-07-11,Agent,Pol-Motor
237,215,Health,5706.0,10703695,49,2025-09-17,2029-09-26,Agent,Pol-Health
238,3430,Property,3306.0,24061252,56,2025-05-26,2029-12-31,Aggregator,Pol-Property
239,4980,Health,4078.0,6902011,40,2024-12-19,2028-04-02,Online,Pol-Health
240,3645,Motor,4015.0,10262059,32,2023-06-29,2026-02-13,Aggregator,Pol-Motor
241,2616,Health,6078.0,15162904,15,2024-09-24,2025-12-18,Agent,Pol-Health
242,606,Motor,14991.0,4298651,12,2023-12-25,2024-12-19,Online,Pol-Motor
243,552,Motor,2957.0,90582951,17,2025-01-07,2026-06-01,Agent,Pol-Motor
244,4415,Health,17156.0,2031095,10,2023-02-21,2023-12-18,Online,Pol-Health
245,2514,Health,5138.0,1107292,26,2023-03-25,2025-05-13,Bancassurance,Pol-Health
246,4825,Health,5461.0,11237580,44,2023-02-01,2026-09-13,Partnership,Pol-Health
247,1178,Motor,4897.0,3407915,28,2024-09-29,2027-01-17,Aggregator,Pol-Motor
248,4447,Travel,5600.0,6947103,28,2024-01-19,2026-05-08,Agent,Pol-Travel
249,1484,Health,6418.0,7559160,23,2024-03-11,2026-01-30,Bancassurance,Pol-Health
250,3312,Motor,6796.0,8799328,20,2023-10-11,2025-06-02,Agent,Pol-Motor
251,4286,Travel,8379.0,1800786,17,2023-10-09,2025-03-02,Agent,Pol-Travel
252,1546,Crop,2540.0,2998263,52,2024-02-27,2028-06-05,Partnership,Pol-Crop
253,1497,Motor,6763.0,16336521,44,2025-09-24,2029-05-06,Aggregator,Pol-Motor
254,4783,Health,9271.0,3585798,8,2025-07-02,2026-02-27,Agent,Pol-Health
255,73,Health,7027.0,5226037,59,2024-09-13,2029-07-19,Agent,Pol-Health
256,4037,Motor,6344.0,3435502,50,2024-06-06,2028-07-15,Aggregator,Pol-Motor
257,2227,Motor,5636.0,8858052,15,2023-08-23,2024-11-15,Aggregator,Pol-Motor
258,1091,Health,12359.0,3891007,41,2024-08-08,2027-12-21,Agent,Pol-Health
259,1617,Motor,9234.0,24462564,23,2023-03-03,2025-01-21,Online,Pol-Motor
260,4173,Crop,6538.0,2789687,53,2025-06-16,2029-10-23,Agent,Pol-Crop
261,4803,Motor,9448.0,1550372,14,2024-02-23,2025-04-18,Aggregator,Pol-Motor
262,988,Crop,11588.0,1905542,40,2025-07-26,2028-11-07,Online,Pol-Crop
263,2116,Crop,3677.0,15783253,46,2024-08-31,2028-06-11,Bancassurance,Pol-Crop
264,1592,Property,9382.0,1885961,27,2023-04-22,2025-07-10,Agent,Pol-Property
265,588,Motor,4791.0,1646840,43,2023-01-14,2026-07-27,Online,Pol-Motor
266,843,Property,13924.0,11154580,13,2023-05-17,2024-06-10,Agent,Pol-Property
267,3650,Health,4527.0,28343803,39,2023-01-07,2026-03-22,Online,Pol-Health
268,3617,Health,7205.0,38617464,43,2023-01-23,2026-08-05,Agent,Pol-Health
269,1566,Motor,8377.0,5004677,25,2023-11-09,2025-11-28,Online,Pol-Motor
270,3610,Crop,2886.0,351270,26,2024-03-30,2026-05-19,Agent,Pol-Crop
271,2930,Motor,2574.0,4730893,44,2023-07-12,2027-02-21,Aggregator,Pol-Motor
272,722,Health,5921.0,16896233,11,2023-05-28,2024-04-22,Online,Pol-Health
273,1805,Crop,16906.0,2181375,38,2024-07-22,2027-09-05,Partnership,Pol-Crop
274,4420,Health,6663.0,3381343,9,2025-04-01,2025-12-27,Online,Pol-Health
275,3195,Motor,9288.0,7481918,43,2025-07-30,2029-02-09,Agent,Pol-Motor
276,655,Motor,1537.0,16549023,33,2025-01-13,2027-09-30,Agent,Pol-Motor
277,145,Health,11105.0,2359744,51,2023-12-21,2028-02-28,Bancassurance,Pol-Health
278,1697,Motor,9362.0,14937504,16,2024-07-03,2025-10-26,Agent,Pol-Motor
279,4240,Motor,10173.0,10755210,49,2025-03-25,2029-04-03,Aggregator,Pol-Motor
280,2712,Motor,7477.0,4507314,20,2023-09-01,2025-04-23,Online,Pol-Motor
281,893,Property,3867.0,11397947,7,2024-09-14,2025-04-12,Online,Pol-Property
282,2565,Motor,5019.0,14089426,33,2023-01-08,2025-09-24,Online,Pol-Motor
283,4291,Travel,4648.0,25239189,13,2025-09-17,2026-10-12,Online,Pol-Travel
284,3555,Health,9618.0,22211912,47,2023-01-19,2026-11-29,Online,Pol-Health
285,1661,Property,6521.0,2041123,35,2025-08-22,2028-07-07,Agent,Pol-Property
286,3547,Motor,11084.0,8754757,4,2025-07-29,2025-11-26,Aggregator,Pol-Motor
287,4914,Travel,10004.0,5478888,31,2024-06-29,2027-01-15,Agent,Pol-Travel
288,2777,Motor,17632.0,7927474,30,2024-11-14,2027-05-03,Online,Pol-Motor
289,3921,Motor,7733.0,5935205,3,2024-04-08,2024-07-07,Aggregator,Pol-Motor
290,1137,Motor,6546.0,6585083,41,2023-09-20,2027-02-01,Agent,Pol-Motor
291,1300,Motor,7682.0,5626544,27,2025-05-22,2027-08-10,Agent,Pol-Motor
292,2524,Health,1929.0,3245501,32,2023-01-21,2025-09-07,Online,Pol-Health
293,3250,Property,6081.0,7084190,47,2023-02-13,2026-12-24,Online,Pol-Property
294,1661,Motor,9935.0,13048016,38,2023-10-08,2026-11-21,Agent,Pol-Motor
295,1315,Property,6310.0,4808599,58,2025-03-25,2029-12-29,Bancassurance,Pol-Property
296,434,Property,6457.0,3572990,6,2023-05-10,2023-11-06,Online,Pol-Property
297,4513,Crop,6285.0,6894696,57,2025-08-17,2030-04-23,Online,Pol-Crop
298,1859,Motor,16128.0,7982264,8,2023-11-24,2024-07-21,Online,Pol-Motor
299,711,Motor,8367.0,3061982,54,2024-08-17,2029-01-23,Agent,Pol-Motor
300,138,Motor,6749.0,3960346,24,2023-04-16,2025-04-05,Partnership,Pol-Motor
301,3561,Motor,24502.0,2064206,15,2024-09-04,2025-11-28,Agent,Pol-Motor
302,1754,Health,3782.0,7686702,25,2025-04-30,2027-05-20,Bancassurance,Pol-Health
303,2857,Health,5183.0,4238793,27,2024-11-23,2027-02-11,Online,Pol-Health
304,1185,Motor,4241.0,19658157,44,2025-03-31,2028-11-10,Bancassurance,Pol-Motor
305,734,Health,4959.0,9136840,13,2024-03-24,2025-04-18,Aggregator,Pol-Health
