incident_id,industry,breach_type,records_exposed,loss_amount_cr,ransomware_flag
59,Government,Ransomware,100000,7.55,1
60,Manufacturing,Data Breach,1000,9.86,0
61,Retail,Data Breach,100000,0.61,0
62,IT/ITeS,Data Breach,0,0.94,0
63,IT/ITeS,Ransomware,10000,8.72,1
64,IT/ITeS,Ransomware,10000,94.9,1
65,Retail,Ransomware,1000,1.39,1
66,BFSI,DDoS,10000,9.83,0
67,Government,Data Breach,10000,12.28,0
68,IT/ITeS,Ransomware,1000000,2.33,1
69,Government,BEC,10000,39.85,0
70,BFSI,Ransomware,10000,1.58,1
71,Retail,Ransomware,0,14.44,1
72,IT/ITeS,Insider Threat,0,2.4,0
73,Retail,DDoS,1000,4.23,0
74,Retail,Data Breach,1000,19.58,0
75,Retail,Data Breach,0,4.18,0
76,IT/ITeS,Ransomware,10000,33.39,1
77,BFSI,Insider Threat,10000,4.59,0
78,BFSI,DDoS,10000,1.79,0
79,Manufacturing,Data Breach,10000,11.32,0
80,BFSI,Insider Threat,10000,4.3,0
81,Healthcare,BEC,100000,2.96,0
82,IT/ITeS,Insider Threat,10000,0.96,0
83,Healthcare,BEC,100000,17.82,0
84,BFSI,Ransomware,0,2.56,1
85,Government,Ransomware,1000,6.41,1
86,Government,Ransomware,1000,5.23,1
87,Manufacturing,Ransomware,100000,2.96,1
88,Government,Ransomware,10000,6.91,1
89,Government,Data Breach,0,10.14,0
90,BFSI,BEC,100000,1.88,0
91,BFSI,Ransomware,1000000,1.33,1
92,Healthcare,Ransomware,0,11.13,1
93,IT/ITeS,Data Breach,10000,0.74,0
94,IT/ITeS,Data Breach,0,3.68,0
95,Manufacturing,DDoS,0,0.95,0
96,BFSI,Ransomware,0,4.14,1
97,Government,Ransomware,1000,0.84,1
98,Manufacturing,Insider Threat,1000,12.8,0
99,Retail,Ransomware,0,33.02,1
100,Government,DDoS,1000000,5.22,0
101,Retail,Ransomware,1000,1.16,1
102,IT/ITeS,Data Breach,1000,2.32,0
103,IT/ITeS,Ransomware,0,5.78,1
104,Manufacturing,Data Breach,0,6.22,0
105,BFSI,BEC,1000,3.74,0
106,Healthcare,DDoS,0,4.06,0
107,Manufacturing,Data Breach,0,16.39,0
108,Manufacturing,Ransomware,10000,6.14,1
109,Manufacturing,Data Breach,10000,35.51,0
110,Healthcare,Data Breach,1000,2.19,0
111,Government,Insider Threat,10000,4.89,0
112,Healthcare,Ransomware,1000,1.9,1
113,BFSI,Ransomware,100000,10.44,1
114,Healthcare,Ransomware,0,126.4,1
115,Retail,BEC,10000,8.48,0
116,Healthcare,Ransomware,10000,2.51,1
117,IT/ITeS,Data Breach,1000,2.54,0
118,Healthcare,Ransomware,1000,4.1,1
119,Government,Ransomware,1000,1.77,1
120,Manufacturing,Ransomware,0,10.06,1
121,BFSI,DDoS,10000,0.9,0
122,Manufacturing,Data Breach,1000,9.52,0
123,Retail,Ransomware,100000,1.58,1
124,Manufacturing,Data Breach,0,2.87,0
125,IT/ITeS,Data Breach,10000,5.76,0
126,Manufacturing,Ransomware,10000,6.21,1
127,Government,Ransomware,0,0.36,1
128,Retail,DDoS,100000,1.41,0
129,Healthcare,Data Breach,0,0.83,0
130,IT/ITeS,Ransomware,10000,3.64,1
131,Government,Data Breach,1000000,0.47,0
132,Government,Ransomware,10000,8.6,1
133,Healthcare,Ransomware,1000,2.21,1
134,BFSI,Ransomware,10000,2.84,1
135,BFSI,BEC,10000,15.54,0
136,Manufacturing,DDoS,1000,4.4,0
137,Manufacturing,Ransomware,10000,1.26,1
138,Healthcare,Data Breach,0,0.77,0
139,Healthcare,Ransomware,10000,4.26,1
140,Retail,BEC,10000,64.91,0
141,Retail,DDoS,10000,0.42,0
142,Manufacturing,Ransomware,100000,0.37,1
143,Healthcare,Ransomware,0,13.92,1
144,Retail,Insider Threat,10000,2.06,0
145,IT/ITeS,Data Breach,0,1.01,0
146,Retail,DDoS,1000000,0.54,0
147,Government,Insider Threat,10000,1.32,0
148,Retail,Ransomware,1000,8.86,1
149,IT/ITeS,Insider Threat,1000000,35.09,0
150,IT/ITeS,Ransomware,10000,3.12,1
151,Manufacturing,Data Breach,0,2.61,0
152,BFSI,DDoS,0,0.18,0
153,Retail,Data Breach,0,0.29,0
154,Manufacturing,Data Breach,1000,1.36,0
155,IT/ITeS,Ransomware,0,6.26,1
156,Government,DDoS,1000,4.7,0
157,Healthcare,DDoS,100000,2.55,0
158,Retail,BEC,10000,15.7,0
159,BFSI,Data Breach,10000,11.66,0
160,Manufacturing,DDoS,0,11.09,0
161,BFSI,Data Breach,1000,5.25,0
162,Retail,Data Breach,1000,6.91,0
163,BFSI,Ransomware,0,2.44,1
164,BFSI,Ransomware,1000,5.83,1
165,IT/ITeS,Ransomware,0,3.43,1
166,BFSI,Data Breach,0,6.48,0
167,Government,Data Breach,10000,7.18,0
168,Manufacturing,Insider Threat,1000,1.02,0
169,BFSI,Insider Threat,0,0.86,0
170,Retail,Ransomware,10000,36.77,1
171,Retail,Ransomware,1000,0.51,1
172,Government,BEC,1000,3.67,0
173,BFSI,Data Breach,1000,3.98,0
174,Government,DDoS,1000,0.6,0
175,BFSI,Ransomware,10000,10.73,1
176,Government,BEC,100000,1.68,0
177,IT/ITeS,Data Breach,10000,0.84,0
178,IT/ITeS,Data Breach,0,24.14,0
179,Government,Data Breach,1000,2.52,0
180,IT/ITeS,Ransomware,1000000,27.86,1
181,Manufacturing,Data Breach,0,5.48,0
182,BFSI,Ransomware,10000,0.2,1
183,BFSI,Data Breach,0,1.99,0
184,IT/ITeS,BEC,10000,1.16,0
185,IT/ITeS,DDoS,10000,23.65,0
186,Manufacturing,Ransomware,10000,9.35,1
187,Healthcare,Data Breach,10000,12.0,0
188,Manufacturing,Ransomware,1000,1.65,1
189,BFSI,Data Breach,1000,8.95,0
190,Manufacturing,Ransomware,10000,11.71,1
191,Manufacturing,Data Breach,0,9.19,0
192,Healthcare,Data Breach,10000,0.5,0
193,BFSI,Ransomware,100000,0.6,1
194,Healthcare,BEC,10000,3.19,0
195,Government,DDoS,1000,4.81,0
196,Healthcare,Insider Threat,100000,0.16,0
197,Healthcare,Data Breach,10000,5.41,0
198,BFSI,Ransomware,10000,23.45,1
199,IT/ITeS,Insider Threat,10000,4.1,0
200,BFSI,DDoS,0,8.84,0
201,BFSI,Data Breach,1000,55.57,0
202,BFSI,DDoS,10000,5.28,0
203,Manufacturing,Ransomware,1000,16.85,1
204,Manufacturing,Ransomware,1000,1.04,1
205,Retail,DDoS,1000,6.36,0
206,BFSI,Insider Threat,1000,0.44,0
207,Healthcare,Insider Threat,0,1.88,0
208,Healthcare,Ransomware,100000,1.92,1
209,Healthcare,Ransomware,10000,1.37,1
210,BFSI,Ransomware,1000000,13.18,1
211,BFSI,BEC,0,0.72,0
212,Retail,Data Breach,0,1.35,0
213,Government,Ransomware,1000,13.93,1
214,Retail,Insider Threat,1000,1.49,0
215,Retail,BEC,1000,10.94,0
216,Retail,Data Breach,100000,0.73,0
217,Government,Ransomware,1000000,7.73,1
218,BFSI,Insider Threat,10000,3.42,0
219,Retail,Ransomware,0,3.95,1
220,Healthcare,Ransomware,10000,0.59,1
221,IT/ITeS,Data Breach,1000,0.45,0
222,Government,DDoS,10000,1.44,0
223,BFSI,Data Breach,10000,1.35,0
224,IT/ITeS,BEC,0,2.99,0
225,BFSI,Ransomware,0,10.66,1
226,Retail,Data Breach,100000,3.73,0
227,Healthcare,Data Breach,1000,0.21,0
228,Retail,BEC,100000,3.11,0
229,Manufacturing,Ransomware,1000,0.91,1
230,Manufacturing,Ransomware,0,0.75,1
231,Retail,Ransomware,1000000,3.67,1
232,Government,Ransomware,100000,0.04,1
233,Manufacturing,Data Breach,1000,10.79,0
234,Manufacturing,Ransomware,0,0.67,1
235,Healthcare,BEC,0,4.82,0
236,Government,Ransomware,0,10.06,1
237,Manufacturing,Insider Threat,1000,0.19,0
238,IT/ITeS,Insider Threat,1000,1.68,0
239,IT/ITeS,Ransomware,1000,2.85,1
240,Manufacturing,Ransomware,100000,4.56,1
241,Retail,Data Breach,100000,0.19,0
242,Retail,Data Breach,1000,3.45,0
243,Retail,Insider Threat,0,1.13,0
244,Retail,Ransomware,1000000,71.89,1
245,Government,Ransomware,10000,11.5,1
246,Retail,Data Breach,1000,0.26,0
247,Manufacturing,BEC,10000,1.66,0
248,BFSI,BEC,1000,8.29,0
249,Healthcare,Data Breach,1000,1.19,0
250,Retail,DDoS,100000,3.71,0
251,Government,Data Breach,100000,0.37,0
252,Government,Ransomware,100000,16.86,1
253,IT/ITeS,Data Breach,0,5.55,0
254,Manufacturing,DDoS,10000,4.71,0
255,BFSI,Insider Threat,100000,1.36,0
256,Government,DDoS,10000,97.34,0
257,BFSI,Ransomware,100000,0.59,1
258,Retail,Data Breach,1000,1.23,0
259,Retail,Data Breach,1000,0.42,0
260,Manufacturing,Insider Threat,1000,1.21,0
261,Government,Data Breach,0,0.7,0
262,Manufacturing,Ransomware,1000000,1.76,1
263,BFSI,Ransomware,1000,1.51,1
264,Healthcare,BEC,100000,10.32,0
265,Government,Ransomware,0,5.19,1
266,Healthcare,Ransomware,10000,6.49,1
267,Government,Data Breach,100000,0.53,0
268,Manufacturing,Ransomware,1000,0.73,1
269,Government,BEC,100000,6.82,0
270,Healthcare,Ransomware,0,0.43,1
271,Healthcare,Ransomware,10000,2.54,1
272,Retail,Data Breach,1000,15.87,0
273,IT/ITeS,Ransomware,1000,17.92,1
274,Healthcare,DDoS,1000,2.25,0
275,IT/ITeS,BEC,100000,12.29,0
276,Government,Data Breach,1000,16.09,0
277,BFSI,Ransomware,10000,2.75,1
278,Healthcare,Ransomware,1000,2.1,1
279,Retail,BEC,1000,1.21,0
280,Government,Data Breach,10000,6.58,0
281,Manufacturing,BEC,10000,42.01,0
282,Retail,Data Breach,1000,2.54,0
283,Manufacturing,BEC,0,8.67,0
284,IT/ITeS,Ransomware,1000,2.3,1
285,Retail,Ransomware,100000,6.72,1
286,Government,Ransomware,100000,2.87,1
287,Healthcare,Insider Threat,1000,8.5,0
288,IT/ITeS,BEC,10000,3.7,0
289,BFSI,Data Breach,1000,3.8,0
290,BFSI,Data Breach,1000,5.22,0
291,Healthcare,BEC,10000,3.72,0
292,IT/ITeS,Data Breach,10000,12.02,0
293,Manufacturing,Insider Threat,100000,14.07,0
294,Government,Ransomware,10000,2.28,1
295,Manufacturing,Ransomware,1000000,0.47,1
296,Manufacturing,Data Breach,100000,10.75,0
297,BFSI,Data Breach,0,0.6,0
298,IT/ITeS,Data Breach,1000,28.97,0
299,IT/ITeS,Insider Threat,1000,2.01,0
300,IT/ITeS,Insider Threat,0,0.68,0
301,Retail,Data Breach,10000,14.37,0
302,Retail,Data Breach,100000,6.0,0
303,BFSI,Ransomware,10000,2.44,1
304,Healthcare,Ransomware,10000,2.03,1
305,Manufacturing,BEC,10000,17.95,0
306,BFSI,Data Breach,100000,4.07,0
307,Government,Ransomware,10000,0.15,1
308,Government,Data Breach,100000,1.1,0
309,Manufacturing,Ransomware,1000,3.54,1
310,Retail,BEC,10000,2.56,0
311,Government,Data Breach,0,2.17,0
312,Government,Insider Threat,10000,1.98,0
313,Manufacturing,BEC,0,13.62,0
314,BFSI,Data Breach,1000,20.57,0
315,Healthcare,Data Breach,1000000,4.87,0
316,BFSI,DDoS,1000,13.92,0
317,BFSI,Data Breach,100000,0.35,0
318,Healthcare,Ransomware,10000,34.11,1
319,Retail,Ransomware,100000,24.66,1
320,BFSI,Ransomware,1000000,2.82,1
321,Healthcare,Ransomware,10000,8.75,1
322,Healthcare,Data Breach,100000,1.82,0
323,BFSI,Ransomware,1000,0.93,1
324,IT/ITeS,Data Breach,1000000,3.27,0
325,Government,BEC,10000,2.77,0
326,IT/ITeS,BEC,100000,2.85,0
327,Manufacturing,Ransomware,10000,2.36,1
328,Manufacturing,Ransomware,1000000,1.77,1
329,IT/ITeS,BEC,100000,4.26,0
330,Manufacturing,Ransomware,0,1.76,1
331,Government,Insider Threat,1000,6.78,0
332,Healthcare,Insider Threat,100000,1.76,0
333,Healthcare,Ransomware,0,30.82,1
334,IT/ITeS,Ransomware,0,2.54,1
335,IT/ITeS,DDoS,10000,2.69,0
336,IT/ITeS,Ransomware,100000,2.25,1
337,Retail,DDoS,100000,1.13,0
338,Retail,Ransomware,10000,3.04,1
339,IT/ITeS,Ransomware,1000000,0.75,1
340,Retail,Insider Threat,1000,8.2,0
341,Government,Ransomware,1000,1.13,1
342,IT/ITeS,Data Breach,1000,4.49,0
343,Retail,Insider Threat,100000,6.67,0
344,BFSI,Data Breach,10000,0.68,0
345,Healthcare,Ransomware,0,3.77,1
346,Healthcare,Ransomware,10000,0.97,1
347,BFSI,Ransomware,100000,2.93,1
348,Government,BEC,1000,35.7,0
349,Manufacturing,Ransomware,10000,3.26,1
350,Government,Data Breach,10000,4.54,0
351,Healthcare,DDoS,100000,2.97,0
352,BFSI,Data Breach,100000,1.19,0
353,Government,Data Breach,1000,15.43,0
354,Manufacturing,DDoS,0,0.75,0
355,Manufacturing,Ransomware,10000,2.74,1
356,Retail,Ransomware,1000,19.76,1
357,IT/ITeS,Ransomware,10000,1.25,1
358,Government,Data Breach,1000000,2.11,0
359,Retail,Data Breach,1000000,17.64,0
360,Healthcare,Ransomware,10000,3.0,1
361,Government,Ransomware,100000,2.37,1
362,Government,Ransomware,10000,1.01,1
363,BFSI,DDoS,100000,4.68,0
364,Manufacturing,Ransomware,1000,0.29,1
365,Manufacturing,BEC,10000,12.2,0
366,Manufacturing,Ransomware,10000,2.57,1
367,BFSI,Ransomware,1000000,0.29,1
368,Manufacturing,Ransomware,100000,2.58,1
369,Government,DDoS,0,4.85,0
370,Government,Data Breach,10000,16.37,0
371,Healthcare,Insider Threat,10000,67.17,0
372,Retail,Ransomware,10000,2.41,1
373,Healthcare,Ransomware,0,5.38,1
374,Manufacturing,DDoS,100000,0.59,0
375,BFSI,Insider Threat,1000000,1.88,0
376,IT/ITeS,BEC,0,3.58,0
377,Retail,Ransomware,0,9.2,1
378,Healthcare,DDoS,100000,5.01,0
379,Government,Ransomware,100000,34.49,1
380,IT/ITeS,Data Breach,10000,11.08,0
381,BFSI,DDoS,100000,0.92,0
382,BFSI,Insider Threat,1000,1.04,0
383,Retail,BEC,1000,0.37,0
384,Manufacturing,Data Breach,10000,10.18,0
385,Retail,Ransomware,0,3.59,1
386,Government,Ransomware,1000,56.77,1
387,IT/ITeS,Data Breach,0,14.87,0
388,BFSI,Ransomware,1000,2.01,1
389,Manufacturing,Ransomware,1000,1.31,1
390,BFSI,Data Breach,1000,0.56,0
391,Government,BEC,100000,2.34,0
392,Government,BEC,10000,0.53,0
393,Government,Ransomware,10000,0.83,1
394,Retail,Data Breach,0,0.38,0
395,Government,Data Breach,100000,0.71,0
396,Manufacturing,Ransomware,10000,1.55,1
397,Retail,Data Breach,10000,2.03,0
398,Manufacturing,Data Breach,10000,2.57,0
399,BFSI,BEC,0,7.97,0
400,Manufacturing,Ransomware,1000,0.15,1
401,Retail,Insider Threat,1000,4.97,0
402,Retail,BEC,1000000,3.18,0
403,Manufacturing,Ransomware,10000,5.78,1
404,Healthcare,BEC,10000,0.45,0
405,Government,Data Breach,0,20.8,0
406,Healthcare,BEC,100000,21.72,0
407,Government,DDoS,1000,8.43,0
408,BFSI,Ransomware,100000,2.66,1
409,Government,Insider Threat,100000,0.79,0
410,BFSI,Data Breach,1000,9.79,0
411,Retail,Ransomware,1000,0.18,1
412,Retail,BEC,1000,0.38,0
413,IT/ITeS,Data Breach,1000000,1.21,0
414,Government,BEC,10000,5.05,0
415,Manufacturing,Ransomware,1000,1.82,1
416,Retail,Ransomware,1000,2.34,1
417,Manufacturing,Ransomware,10000,3.22,1
418,BFSI,Insider Threat,10000,27.67,0
419,Manufacturing,DDoS,0,6.1,0
420,Manufacturing,Ransomware,1000,0.5,1
421,Manufacturing,Data Breach,1000,3.28,0
422,Manufacturing,Ransomware,1000,8.89,1
423,Healthcare,Ransomware,0,0.44,1
424,Manufacturing,Ransomware,1000,0.31,1
425,Healthcare,Ransomware,0,7.86,1
426,Government,Ransomware,100000,0.31,1
427,BFSI,Ransomware,100000,2.43,1
428,BFSI,Insider Threat,0,2.19,0
429,Manufacturing,Data Breach,100000,1.73,0
430,Healthcare,BEC,10000,1.25,0
431,IT/ITeS,Data Breach,100000,9.01,0
432,Government,Data Breach,100000,6.36,0
433,BFSI,Data Breach,10000,32.95,0
434,Government,DDoS,10000,3.42,0
435,Manufacturing,Ransomware,0,2.29,1
436,Government,BEC,10000,0.96,0
437,Retail,Data Breach,100000,1.93,0
438,BFSI,Ransomware,10000,5.46,1
439,Retail,Insider Threat,1000,13.63,0
440,Healthcare,Ransomware,10000,6.2,1
441,BFSI,Ransomware,1000,6.03,1
442,BFSI,Data Breach,1000,7.53,0
443,Government,Ransomware,10000,134.5,1
444,Retail,Insider Threat,10000,3.27,0
445,Government,Ransomware,100000,15.97,1
446,Manufacturing,Ransomware,0,0.36,1
447,Healthcare,Data Breach,1000,0.74,0
448,Healthcare,Ransomware,10000,6.3,1
449,IT/ITeS,BEC,100000,2.28,0
450,Retail,Ransomware,1000,10.4,1
451,Retail,Data Breach,0,26.36,0
452,Manufacturing,Ransomware,10000,10.76,1
453,IT/ITeS,BEC,0,0.76,0
454,BFSI,Ransomware,0,8.64,1
455,Retail,Data Breach,10000,18.9,0
456,Healthcare,Data Breach,1000,29.78,0
457,BFSI,Data Breach,1000,19.84,0
458,BFSI,BEC,10000,16.36,0
459,Manufacturing,Insider Threat,0,0.63,0
460,Government,BEC,100000,2.36,0
461,Healthcare,Data Breach,10000,3.98,0
462,Retail,Data Breach,100000,1.81,0
463,Retail,Data Breach,1000,5.32,0
464,Manufacturing,Data Breach,10000,3.72,0
465,Government,Data Breach,0,6.21,0
466,Healthcare,BEC,0,28.07,0
467,Manufacturing,Ransomware,0,5.96,1
468,BFSI,Ransomware,1000,1.84,1
469,Manufacturing,DDoS,100000,3.03,0
470,IT/ITeS,Data Breach,1000,1.96,0
471,Government,Insider Threat,0,8.99,0
472,Manufacturing,BEC,0,2.08,0
473,Healthcare,Ransomware,10000,13.55,1
474,Government,Data Breach,10000,12.0,0
475,Retail,Data Breach,0,1.85,0
476,IT/ITeS,Ransomware,10000,0.36,1
477,Manufacturing,Data Breach,0,4.92,0
478,Government,Data Breach,10000,0.35,0
479,Manufacturing,Ransomware,10000,1.3,1
480,Healthcare,BEC,0,1.69,0
481,Government,Data Breach,0,8.09,0
482,Manufacturing,Ransomware,1000,8.89,1
483,Healthcare,Data Breach,100000,1.98,0
484,Healthcare,BEC,1000,4.32,0
485,BFSI,Ransomware,10000,4.09,1
486,Healthcare,Data Breach,0,1.18,0
487,Government,BEC,100000,0.47,0
488,Retail,Ransomware,100000,3.68,1
489,Manufacturing,Ransomware,1000,1.13,1
490,Manufacturing,Ransomware,10000,3.58,1
491,BFSI,DDoS,10000,0.87,0
492,BFSI,Data Breach,0,5.24,0
493,Retail,Data Breach,100000,0.92,0
494,Retail,Data Breach,10000,11.41,0
495,Healthcare,BEC,100000,0.78,0
496,Retail,DDoS,0,7.38,0
497,Government,BEC,1000000,0.48,0
498,Healthcare,Data Breach,10000,4.11,0
499,Manufacturing,Ransomware,10000,0.78,1
500,Manufacturing,Ransomware,100000,0.55,1
501,Retail,Ransomware,1000,1.21,1
502,Government,Ransomware,100000,6.1,1
503,Retail,BEC,1000000,1.82,0
504,Manufacturing,Ransomware,10000,4.71,1
505,Retail,Data Breach,1000,0.96,0
506,Government,BEC,1000,9.53,0
507,IT/ITeS,DDoS,0,5.25,0
508,Manufacturing,Data Breach,100000,1.61,0
509,Manufacturing,Data Breach,1000000,0.19,0
510,Manufacturing,Data Breach,10000,20.7,0
511,Healthcare,DDoS,1000,39.4,0
512,Government,Data Breach,100000,0.86,0
513,IT/ITeS,Ransomware,0,6.03,1
514,BFSI,Data Breach,1000,5.91,0
515,Retail,Data Breach,10000,5.13,0
516,Retail,Ransomware,1000000,2.65,1
517,IT/ITeS,Ransomware,1000,0.28,1
518,IT/ITeS,Ransomware,10000,6.18,1
519,Manufacturing,BEC,1000,1.38,0
520,BFSI,Insider Threat,100000,20.44,0
521,Manufacturing,Ransomware,0,27.04,1
522,Manufacturing,Ransomware,1000,12.27,1
523,BFSI,BEC,100000,3.68,0
524,Government,BEC,10000,1.76,0
525,Manufacturing,DDoS,1000000,0.49,0
526,Healthcare,Insider Threat,0,1.83,0
527,Retail,Data Breach,1000,20.65,0
528,IT/ITeS,Ransomware,1000,3.96,1
529,Healthcare,Ransomware,1000,3.26,1
530,Government,Insider Threat,10000,6.71,0
531,Government,Data Breach,10000,5.41,0
532,Manufacturing,Data Breach,10000,3.37,0
533,BFSI,Data Breach,100000,0.5,0
534,Government,Data Breach,0,5.27,0
535,Healthcare,BEC,100000,0.85,0
536,IT/ITeS,DDoS,10000,0.63,0
537,IT/ITeS,Data Breach,0,4.78,0
538,Healthcare,Ransomware,1000000,0.56,1
539,Retail,BEC,100000,2.71,0
540,Government,Ransomware,1000,0.99,1
541,Manufacturing,Ransomware,10000,7.11,1
542,Government,Data Breach,1000,1.78,0
543,Healthcare,Data Breach,0,1.19,0
544,Government,Ransomware,0,5.56,1
545,BFSI,Data Breach,10000,4.68,0
546,Healthcare,BEC,1000,28.03,0
547,Government,Ransomware,10000,2.54,1
548,Healthcare,Ransomware,10000,3.4,1
549,BFSI,Insider Threat,1000,1.86,0
550,BFSI,Ransomware,10000,7.81,1
551,Healthcare,Ransomware,0,3.65,1
552,Government,BEC,10000,1.51,0
553,Retail,DDoS,0,17.56,0
554,Retail,Data Breach,10000,2.43,0
555,Retail,DDoS,10000,11.89,0
556,Manufacturing,Ransomware,10000,15.2,1
557,Manufacturing,Insider Threat,10000,4.93,0
558,Healthcare,Insider Threat,0,19.49,0
559,Healthcare,Ransomware,1000,7.4,1
560,Manufacturing,Ransomware,100000,1.66,1
561,IT/ITeS,DDoS,10000,9.33,0
562,IT/ITeS,Data Breach,100000,0.92,0
563,Retail,Ransomware,1000,1.15,1
564,BFSI,Data Breach,1000,4.08,0
565,IT/ITeS,Ransomware,1000,1.95,1
566,BFSI,Ransomware,10000,0.9,1
567,IT/ITeS,BEC,0,24.21,0
568,Government,BEC,10000,2.43,0
569,BFSI,Insider Threat,1000,22.22,0
570,Healthcare,Ransomware,10000,0.16,1
571,Manufacturing,BEC,1000,9.65,0
572,Manufacturing,BEC,100000,2.81,0
573,BFSI,DDoS,10000,67.69,0
574,Healthcare,Ransomware,1000,7.63,1
575,Manufacturing,Data Breach,10000,0.36,0
576,Manufacturing,Data Breach,0,13.26,0
577,Retail,Data Breach,1000,0.98,0
578,Government,Data Breach,1000000,2.47,0
579,Government,Data Breach,100000,5.83,0
580,IT/ITeS,Ransomware,100000,0.96,1
581,Government,DDoS,10000,2.88,0
582,Healthcare,BEC,10000,24.75,0
583,BFSI,Ransomware,1000,4.42,1
584,Healthcare,Data Breach,0,27.23,0
585,Healthcare,Insider Threat,10000,2.15,0
586,Retail,Ransomware,1000,0.62,1
587,Retail,Insider Threat,0,2.29,0
588,Healthcare,BEC,100000,4.65,0
589,Healthcare,Ransomware,1000,0.71,1
590,Healthcare,BEC,10000,0.72,0
591,IT/ITeS,Data Breach,10000,1.15,0
592,Retail,Data Breach,10000,21.08,0
593,BFSI,DDoS,1000,66.22,0
594,Healthcare,BEC,1000,1.99,0
595,Healthcare,Ransomware,10000,0.95,1
596,BFSI,Data Breach,0,0.99,0
597,Government,Data Breach,10000,0.88,0
598,BFSI,Data Breach,10000,1.46,0
599,IT/ITeS,Data Breach,10000,3.21,0
600,Government,Data Breach,100000,1.83,0
601,Retail,Data Breach,1000,4.6,0
602,Healthcare,Data Breach,100000,1.45,0
603,BFSI,Ransomware,10000,30.36,1
604,Manufacturing,Ransomware,10000,1.8,1
605,Government,Ransomware,1000,1.2,1
606,IT/ITeS,Ransomware,10000,1.84,1
607,Retail,Ransomware,10000,44.59,1
608,Retail,Data Breach,1000000,0.95,0
609,BFSI,Ransomware,1000,6.29,1
610,Healthcare,Insider Threat,10000,6.86,0
611,Manufacturing,DDoS,100000,9.25,0
612,Manufacturing,Data Breach,10000,4.1,0
613,Government,Ransomware,100000,2.09,1
614,Manufacturing,Data Breach,1000000,5.5,0
615,IT/ITeS,Ransomware,0,1.88,1
616,BFSI,Ransomware,10000,7.85,1
617,BFSI,Data Breach,10000,7.61,0
618,BFSI,Data Breach,1000,0.46,0
619,IT/ITeS,BEC,0,0.28,0
620,Manufacturing,Ransomware,10000,10.6,1
621,Government,Insider Threat,10000,1.94,0
622,Healthcare,Ransomware,100000,1.09,1
623,Retail,Ransomware,1000,1.1,1
624,Retail,BEC,1000000,2.3,0
625,Manufacturing,BEC,10000,4.53,0
626,Retail,Data Breach,100000,41.45,0
627,IT/ITeS,Data Breach,100000,10.94,0
628,IT/ITeS,Ransomware,10000,4.75,1
629,Manufacturing,BEC,1000,0.17,0
630,Healthcare,Data Breach,10000,0.82,0
631,Healthcare,BEC,1000,4.74,0
632,Manufacturing,Ransomware,10000,7.27,1
