indicator_id,claim_id,indicator_type,indicator_value,score,review_status
107,14726,Repeat Claimant,1,49.3,Flagged
108,4061,Amount Rounding,0,99.9,Flagged
109,2220,Policy-Claim Gap,1,79.3,Cleared
110,15640,Policy-Claim Gap,1,48.4,Under Review
111,10804,High Claim Ratio,0,28.7,Confirmed
112,11451,Amount Rounding,0,91.2,Confirmed
113,5236,High Claim Ratio,1,46.5,Under Review
114,862,Repeat Claimant,0,13.0,Confirmed
115,18391,Repeat Claimant,1,47.7,Flagged
116,2318,Rapid Settlement,1,92.8,Flagged
117,11830,Policy-Claim Gap,1,0.4,Flagged
118,19225,Policy-Claim Gap,1,54.8,Under Review
119,699,Rapid Settlement,0,29.8,Flagged
120,14956,Amount Rounding,0,80.7,Confirmed
121,17826,Policy-Claim Gap,0,90.5,Under Review
122,18945,Rapid Settlement,1,23.3,Under Review
123,10719,Repeat Claimant,1,56.1,Confirmed
124,1726,Repeat Claimant,0,34.0,Confirmed
125,4333,High Claim Ratio,1,69.6,Confirmed
126,4279,Rapid Settlement,1,87.9,Under Review
127,18168,Repeat Claimant,1,2.0,Flagged
128,2218,Rapid Settlement,1,49.0,Confirmed
129,7080,Repeat Claimant,1,91.0,Under Review
130,16106,Rapid Settlement,0,5.0,Cleared
131,11121,High Claim Ratio,0,23.1,Flagged
132,14869,Rapid Settlement,0,43.9,Flagged
133,15774,Repeat Claimant,1,99.1,Cleared
134,19049,Rapid Settlement,0,5.9,Under Review
135,13792,Repeat Claimant,0,23.3,Under Review
136,6237,Rapid Settlement,1,39.2,Under Review
137,6725,High Claim Ratio,1,90.5,Flagged
138,9616,High Claim Ratio,1,13.8,Under Review
139,12998,Repeat Claimant,1,90.0,Under Review
140,3031,Amount Rounding,1,97.2,Flagged
141,1723,Amount Rounding,1,24.5,Under Review
142,5525,Amount Rounding,1,30.0,Flagged
143,18679,Repeat Claimant,1,20.0,Under Review
144,12812,High Claim Ratio,0,32.7,Under Review
145,4031,High Claim Ratio,0,25.9,Flagged
146,3837,Amount Rounding,1,11.6,Flagged
147,18065,Policy-Claim Gap,1,77.9,Flagged
148,13337,Rapid Settlement,0,11.6,Flagged
149,827,Policy-Claim Gap,1,61.3,Flagged
150,4210,Policy-Claim Gap,0,32.7,Under Review
151,1469,High Claim Ratio,1,38.1,Under Review
152,9372,Repeat Claimant,0,93.5,Flagged
153,18400,Rapid Settlement,1,10.3,Under Review
154,3106,Amount Rounding,1,44.5,Confirmed
155,525,High Claim Ratio,1,54.4,Flagged
156,17220,Repeat Claimant,1,57.7,Confirmed
157,15170,Policy-Claim Gap,0,94.5,Cleared
158,13502,Rapid Settlement,1,73.9,Confirmed
159,7894,Policy-Claim Gap,1,19.8,Cleared
160,2437,Repeat Claimant,1,40.7,Under Review
161,1631,Rapid Settlement,1,36.1,Under Review
162,16680,Amount Rounding,1,58.9,Confirmed
163,6259,Policy-Claim Gap,1,98.7,Under Review
164,3751,Rapid Settlement,0,87.5,Under Review
165,17559,Amount Rounding,1,98.1,Confirmed
166,2062,High Claim Ratio,1,20.4,Flagged
167,5761,Rapid Settlement,0,93.9,Flagged
168,1935,Repeat Claimant,0,3.4,Flagged
169,1597,Amount Rounding,0,42.1,Cleared
170,18458,Repeat Claimant,0,27.7,Flagged
171,9045,Policy-Claim Gap,0,64.8,Flagged
172,3224,Amount Rounding,0,10.3,Flagged
173,2158,Repeat Claimant,1,49.6,Cleared
174,8853,High Claim Ratio,1,80.0,Flagged
175,8810,High Claim Ratio,0,26.8,Flagged
176,14627,High Claim Ratio,0,77.8,Flagged
177,17298,High Claim Ratio,1,11.0,Flagged
178,12216,Policy-Claim Gap,1,95.7,Flagged
179,11398,Repeat Claimant,1,78.2,Under Review
180,9837,High Claim Ratio,0,68.0,Under Review
181,12821,Repeat Claimant,0,37.1,Flagged
182,10890,Policy-Claim Gap,1,90.0,Cleared
183,10392,Amount Rounding,1,92.2,Flagged
184,7275,Amount Rounding,1,97.8,Flagged
185,16714,Policy-Claim Gap,1,37.3,Confirmed
186,9376,Rapid Settlement,0,50.1,Flagged
187,15696,Policy-Claim Gap,1,73.9,Confirmed
188,563,Policy-Claim Gap,0,44.9,Under Review
189,9830,Repeat Claimant,1,95.6,Under Review
190,10248,Amount Rounding,1,44.0,Under Review
191,96,Policy-Claim Gap,0,99.9,Cleared
192,8289,Repeat Claimant,0,23.9,Under Review
193,11295,Policy-Claim Gap,1,83.0,Confirmed
194,17325,High Claim Ratio,0,36.2,Flagged
195,10400,Repeat Claimant,1,13.9,Cleared
196,5507,Repeat Claimant,1,27.3,Under Review
197,10615,High Claim Ratio,0,56.7,Flagged
198,3647,Amount Rounding,0,31.3,Under Review
199,12679,Policy-Claim Gap,1,34.2,Under Review
200,17009,High Claim Ratio,0,42.2,Flagged
201,16583,High Claim Ratio,1,80.6,Confirmed
202,15512,Policy-Claim Gap,1,56.4,Flagged
203,8036,Repeat Claimant,1,26.3,Under Review
204,7948,High Claim Ratio,1,77.4,Flagged
205,18633,Policy-Claim Gap,0,18.9,Flagged
206,10916,Policy-Claim Gap,0,73.0,Confirmed
207,11769,High Claim Ratio,0,99.9,Confirmed
208,9106,Repeat Claimant,1,42.7,Cleared
209,13938,Amount Rounding,0,22.7,Flagged
210,4252,Rapid Settlement,0,73.4,Confirmed
211,8825,High Claim Ratio,1,90.5,Flagged
212,16197,High Claim Ratio,1,59.1,Under Review
213,13016,Amount Rounding,0,6.4,Cleared
214,18282,High Claim Ratio,1,38.6,Under Review
215,635,Amount Rounding,1,10.7,Cleared
216,2479,High Claim Ratio,1,16.5,Flagged
217,17747,Amount Rounding,0,50.2,Under Review
218,18197,Policy-Claim Gap,0,41.7,Flagged
219,14412,Rapid Settlement,1,0.8,Confirmed
220,19190,Rapid Settlement,1,64.1,Confirmed
221,17017,Rapid Settlement,0,77.2,Flagged
222,15057,Repeat Claimant,0,65.6,Flagged
223,17079,Amount Rounding,0,46.1,Flagged
224,1194,Repeat Claimant,0,81.5,Confirmed
225,4150,High Claim Ratio,1,42.0,Confirmed
226,14829,Policy-Claim Gap,1,49.7,Flagged
227,12235,High Claim Ratio,1,87.0,Flagged
228,8086,Rapid Settlement,0,19.1,Cleared
229,5604,Policy-Claim Gap,0,1.4,Under Review
230,17880,High Claim Ratio,0,24.4,Cleared
231,9337,Policy-Claim Gap,1,7.8,Flagged
232,15413,Policy-Claim Gap,0,68.1,Flagged
233,14058,Amount Rounding,0,72.8,Flagged
234,4756,Amount Rounding,1,86.8,Flagged
235,7503,High Claim Ratio,0,0.1,Flagged
236,17643,Repeat Claimant,0,98.8,Confirmed
237,1769,Rapid Settlement,0,62.4,Under Review
238,16105,Amount Rounding,0,35.2,Under Review
239,7810,Rapid Settlement,0,39.3,Under Review
240,2446,High Claim Ratio,1,49.6,Under Review
241,6472,High Claim Ratio,0,96.4,Flagged
242,19427,Amount Rounding,1,8.7,Under Review
243,7091,High Claim Ratio,0,8.6,Under Review
244,14412,Amount Rounding,1,1.2,Confirmed
245,12429,Rapid Settlement,1,16.7,Flagged
246,11385,Policy-Claim Gap,1,85.9,Flagged
247,9575,Amount Rounding,1,59.9,Flagged
248,1643,Repeat Claimant,1,0.9,Under Review
249,5284,Rapid Settlement,0,49.9,Under Review
250,14047,Policy-Claim Gap,0,64.9,Flagged
251,18910,Rapid Settlement,0,91.1,Flagged
252,3492,Amount Rounding,1,28.5,Confirmed
253,19476,High Claim Ratio,1,0.7,Cleared
254,19218,Repeat Claimant,0,95.1,Cleared
255,7409,Policy-Claim Gap,0,5.1,Cleared
256,1716,Amount Rounding,1,40.4,Cleared
257,14820,Rapid Settlement,1,75.0,Confirmed
258,18721,Policy-Claim Gap,0,70.4,Under Review
259,6999,Policy-Claim Gap,0,91.8,Confirmed
260,16760,Amount Rounding,0,28.7,Flagged
261,10732,Repeat Claimant,1,95.4,Flagged
262,4279,Amount Rounding,1,28.4,Under Review
263,8170,Amount Rounding,0,44.4,Cleared
264,7483,Amount Rounding,0,89.8,Flagged
265,7248,Amount Rounding,0,73.4,Flagged
266,14153,Amount Rounding,1,21.2,Under Review
267,7905,Repeat Claimant,0,76.2,Flagged
268,12363,High Claim Ratio,1,5.0,Under Review
269,9135,High Claim Ratio,1,11.6,Under Review
270,14509,Repeat Claimant,1,14.3,Under Review
271,2391,Rapid Settlement,1,46.0,Confirmed
272,9098,Amount Rounding,1,29.3,Flagged
273,18190,Rapid Settlement,1,28.4,Flagged
274,7622,Rapid Settlement,0,12.8,Flagged
275,3788,Repeat Claimant,0,63.5,Confirmed
276,3136,Policy-Claim Gap,1,36.8,Flagged
277,3781,Rapid Settlement,0,5.9,Under Review
278,12286,Rapid Settlement,1,33.0,Under Review
279,11246,Policy-Claim Gap,0,67.4,Cleared
280,4793,Policy-Claim Gap,0,9.8,Flagged
281,14653,Rapid Settlement,1,52.1,Under Review
282,3997,Amount Rounding,1,34.0,Under Review
283,5056,Rapid Settlement,1,84.5,Flagged
284,944,High Claim Ratio,1,72.8,Cleared
285,13164,High Claim Ratio,1,30.1,Flagged
286,9173,Repeat Claimant,0,77.9,Under Review
287,2209,Repeat Claimant,1,46.5,Flagged
288,17998,Policy-Claim Gap,1,38.6,Flagged
289,925,Policy-Claim Gap,1,68.5,Flagged
290,1711,Policy-Claim Gap,1,97.1,Flagged
291,5156,Rapid Settlement,0,36.2,Under Review
292,13015,Amount Rounding,1,42.8,Under Review
293,3572,Rapid Settlement,1,93.5,Under Review
294,4339,High Claim Ratio,1,6.3,Confirmed
295,6889,Repeat Claimant,1,47.1,Flagged
296,10917,Rapid Settlement,1,19.6,Flagged
297,13415,High Claim Ratio,1,25.8,Flagged
298,18551,High Claim Ratio,1,45.1,Flagged
299,18911,High Claim Ratio,1,61.5,Cleared
300,18203,Repeat Claimant,1,24.2,Flagged
301,5584,Repeat Claimant,1,58.8,Confirmed
302,12110,Amount Rounding,0,36.9,Confirmed
303,4410,Rapid Settlement,1,58.7,Flagged
304,12573,Rapid Settlement,1,14.3,Cleared
305,5986,Rapid Settlement,1,93.8,Under Review
306,635,Repeat Claimant,0,61.3,Under Review
307,98,Policy-Claim Gap,1,3.6,Flagged
308,14824,Repeat Claimant,1,68.6,Under Review
309,9157,High Claim Ratio,1,58.9,Under Review
310,18846,Rapid Settlement,1,42.9,Flagged
311,5222,Repeat Claimant,0,54.2,Confirmed
312,17080,Rapid Settlement,0,64.0,Flagged
313,14620,Policy-Claim Gap,0,37.7,Under Review
314,14095,Policy-Claim Gap,1,99.3,Flagged
315,2312,Repeat Claimant,1,24.4,Flagged
316,18658,Rapid Settlement,0,11.5,Under Review
317,17195,Rapid Settlement,1,26.1,Flagged
318,11345,Amount Rounding,1,16.8,Under Review
319,5962,High Claim Ratio,1,32.8,Flagged
320,9626,High Claim Ratio,0,59.1,Flagged
321,9781,Rapid Settlement,0,83.7,Under Review
322,4481,Amount Rounding,1,13.8,Flagged
323,9484,Rapid Settlement,1,36.7,Flagged
324,19984,Rapid Settlement,0,17.7,Confirmed
325,6699,Rapid Settlement,1,58.7,Under Review
326,6006,High Claim Ratio,1,72.8,Flagged
327,2,High Claim Ratio,1,46.7,Flagged
328,13556,Repeat Claimant,0,0.9,Under Review
329,14294,Policy-Claim Gap,1,85.8,Under Review
330,6093,Rapid Settlement,1,95.4,Flagged
331,3743,Amount Rounding,0,33.4,Under Review
332,4207,Policy-Claim Gap,1,42.4,Confirmed
333,10014,Repeat Claimant,1,23.5,Cleared
334,13374,Policy-Claim Gap,0,23.4,Under Review
335,1756,Repeat Claimant,1,93.6,Confirmed
336,3328,Rapid Settlement,1,54.4,Confirmed
337,7062,Repeat Claimant,1,78.8,Under Review
338,3935,Repeat Claimant,1,78.6,Confirmed
339,6602,Rapid Settlement,1,44.1,Flagged
340,2757,Repeat Claimant,1,12.6,Under Review
341,8142,Repeat Claimant,0,2.3,Confirmed
342,7067,Amount Rounding,1,26.4,Flagged
343,3135,Repeat Claimant,0,30.0,Under Review
344,18953,High Claim Ratio,1,28.9,Flagged
345,2233,Amount Rounding,1,34.5,Flagged
346,9816,High Claim Ratio,1,3.0,Under Review
347,3067,Rapid Settlement,0,57.7,Under Review
348,3633,Repeat Claimant,0,24.2,Confirmed
349,9480,Amount Rounding,1,71.1,Flagged
350,19221,Repeat Claimant,0,18.4,Flagged
351,655,High Claim Ratio,1,18.7,Flagged
352,2732,Repeat Claimant,0,96.6,Flagged
353,16123,High Claim Ratio,1,69.8,Flagged
354,16491,Policy-Claim Gap,1,38.8,Cleared
355,4452,High Claim Ratio,1,0.9,Confirmed
356,2520,Rapid Settlement,1,65.5,Under Review
357,6637,High Claim Ratio,1,30.2,Flagged
358,1760,Policy-Claim Gap,0,21.1,Under Review
359,12924,Amount Rounding,1,81.6,Flagged
360,10120,Repeat Claimant,0,18.7,Confirmed
361,14844,Amount Rounding,0,30.8,Flagged
362,7002,Repeat Claimant,1,67.7,Under Review
363,13846,High Claim Ratio,1,71.5,Under Review
364,178,High Claim Ratio,1,10.4,Under Review
365,5812,Repeat Claimant,1,98.3,Under Review
366,14205,Policy-Claim Gap,1,70.6,Flagged
367,17818,High Claim Ratio,1,14.6,Cleared
368,11989,Rapid Settlement,0,38.0,Confirmed
369,3490,Repeat Claimant,0,83.6,Confirmed
370,7429,Rapid Settlement,1,10.5,Flagged
371,12792,High Claim Ratio,0,1.1,Confirmed
372,9571,Policy-Claim Gap,1,27.3,Flagged
373,12735,High Claim Ratio,1,86.6,Flagged
374,7108,Amount Rounding,0,38.2,Confirmed
375,18179,High Claim Ratio,1,56.6,Confirmed
376,6849,Rapid Settlement,0,0.5,Under Review
377,14232,Rapid Settlement,0,6.6,Flagged
378,12459,High Claim Ratio,1,68.6,Flagged
379,16422,Rapid Settlement,1,18.5,Under Review
380,10621,Repeat Claimant,1,47.6,Cleared
381,1760,High Claim Ratio,1,61.2,Confirmed
382,13281,High Claim Ratio,1,91.2,Flagged
383,1370,Rapid Settlement,1,34.8,Flagged
384,7313,Policy-Claim Gap,1,1.1,Under Review
385,2755,Amount Rounding,1,75.9,Flagged
386,15739,Policy-Claim Gap,0,5.7,Under Review
387,17756,Amount Rounding,0,10.4,Flagged
388,16741,Rapid Settlement,1,8.7,Confirmed
389,9419,Policy-Claim Gap,1,97.1,Confirmed
390,8197,Rapid Settlement,0,32.5,Under Review
391,17721,Policy-Claim Gap,1,39.1,Under Review
392,7192,Policy-Claim Gap,1,15.0,Flagged
393,16015,Rapid Settlement,1,81.8,Confirmed
394,6403,High Claim Ratio,1,40.4,Flagged
395,6796,High Claim Ratio,0,89.0,Cleared
396,6681,Rapid Settlement,1,66.1,Confirmed
397,8394,Rapid Settlement,0,10.2,Confirmed
398,7393,Amount Rounding,0,74.9,Flagged
399,19087,High Claim Ratio,1,31.5,Flagged
400,7532,Repeat Claimant,1,25.4,Confirmed
401,18562,Repeat Claimant,1,20.3,Confirmed
402,3939,High Claim Ratio,0,58.6,Flagged
403,18315,Amount Rounding,0,62.5,Flagged
404,2223,Rapid Settlement,1,11.0,Confirmed
405,19653,Amount Rounding,0,25.8,Cleared
406,10658,Policy-Claim Gap,0,57.0,Flagged
407,9324,Rapid Settlement,1,19.9,Under Review
408,11000,Amount Rounding,1,18.4,Under Review
409,16724,Amount Rounding,1,54.4,Confirmed
410,19195,Amount Rounding,0,99.1,Under Review
411,8075,Policy-Claim Gap,1,55.1,Flagged
412,11171,Rapid Settlement,1,34.9,Cleared
413,1210,Amount Rounding,0,0.0,Flagged
414,13472,High Claim Ratio,1,16.3,Confirmed
415,9001,Rapid Settlement,1,36.6,Confirmed
416,1086,Policy-Claim Gap,1,76.1,Flagged
417,2364,Policy-Claim Gap,1,56.3,Under Review
418,13154,Amount Rounding,1,71.9,Flagged
419,10044,Rapid Settlement,1,71.9,Flagged
420,957,High Claim Ratio,1,58.1,Under Review
421,14396,Repeat Claimant,1,8.0,Flagged
422,14320,Amount Rounding,1,72.4,Flagged
423,8470,Amount Rounding,0,73.2,Flagged
424,14488,Repeat Claimant,1,41.2,Under Review
425,17681,Amount Rounding,0,84.3,Flagged
426,16051,Repeat Claimant,0,88.8,Confirmed
427,16509,Repeat Claimant,0,73.3,Confirmed
428,6114,Policy-Claim Gap,0,15.8,Flagged
429,7366,Amount Rounding,0,77.6,Flagged
430,150,Rapid Settlement,1,89.8,Under Review
431,4946,Rapid Settlement,0,87.2,Flagged
432,17168,High Claim Ratio,1,91.7,Cleared
433,587,Rapid Settlement,1,88.6,Confirmed
434,6437,Rapid Settlement,1,68.8,Under Review
435,9336,Policy-Claim Gap,0,74.5,Confirmed
436,17409,Policy-Claim Gap,1,7.4,Under Review
437,11920,Policy-Claim Gap,1,2.9,Confirmed
438,16724,Amount Rounding,1,90.0,Flagged
439,9227,Rapid Settlement,0,0.7,Flagged
440,11483,Repeat Claimant,1,50.6,Flagged
441,2057,Amount Rounding,0,75.1,Flagged
442,3413,Rapid Settlement,0,53.5,Under Review
443,4535,Rapid Settlement,1,86.0,Flagged
444,374,Policy-Claim Gap,1,92.2,Confirmed
445,19952,Policy-Claim Gap,1,30.8,Confirmed
446,9388,Policy-Claim Gap,1,55.6,Under Review
447,637,Policy-Claim Gap,0,3.0,Under Review
448,17167,Amount Rounding,0,40.4,Under Review
449,15003,Policy-Claim Gap,1,76.7,Cleared
450,19817,Policy-Claim Gap,0,19.8,Flagged
451,8321,High Claim Ratio,0,71.1,Flagged
452,9173,High Claim Ratio,1,5.5,Flagged
453,13683,Amount Rounding,1,76.6,Confirmed
454,4750,Repeat Claimant,0,32.8,Flagged
455,2585,Policy-Claim Gap,1,94.8,Flagged
456,4308,Policy-Claim Gap,0,99.3,Confirmed
457,18493,Policy-Claim Gap,1,0.1,Under Review
458,2166,Rapid Settlement,1,46.4,Flagged
459,8105,Repeat Claimant,1,43.7,Flagged
460,15396,Rapid Settlement,0,34.5,Flagged
461,19345,Amount Rounding,1,36.1,Flagged
462,8606,Amount Rounding,1,47.5,Confirmed
463,5500,Repeat Claimant,1,54.7,Under Review
464,15621,Amount Rounding,0,29.5,Flagged
465,18790,Amount Rounding,0,69.1,Flagged
466,13636,Amount Rounding,0,93.2,Under Review
467,11472,High Claim Ratio,1,24.3,Confirmed
468,5505,Rapid Settlement,1,58.6,Flagged
469,12450,High Claim Ratio,0,35.2,Under Review
470,3578,Repeat Claimant,1,54.1,Under Review
471,226,Amount Rounding,1,80.3,Flagged
472,447,High Claim Ratio,0,1.1,Under Review
473,5925,Repeat Claimant,0,9.5,Under Review
474,10357,Policy-Claim Gap,0,95.6,Flagged
475,11258,Rapid Settlement,1,21.6,Confirmed
476,1475,High Claim Ratio,1,47.8,Flagged
477,9176,Policy-Claim Gap,1,79.9,Flagged
478,11183,Policy-Claim Gap,0,2.3,Flagged
479,13818,Rapid Settlement,0,43.1,Confirmed
480,19477,Rapid Settlement,1,13.6,Flagged
481,2695,Rapid Settlement,1,74.1,Under Review
482,12014,Repeat Claimant,1,21.2,Under Review
483,14408,Rapid Settlement,1,35.0,Under Review
484,6635,Rapid Settlement,1,64.4,Flagged
485,8043,High Claim Ratio,1,38.2,Confirmed
486,253,Rapid Settlement,0,20.5,Flagged
487,13104,Policy-Claim Gap,0,85.6,Confirmed
488,15485,Repeat Claimant,1,62.6,Under Review
489,7564,High Claim Ratio,1,75.9,Under Review
490,3615,Repeat Claimant,1,95.2,Flagged
491,4931,Rapid Settlement,0,52.7,Under Review
492,8079,Rapid Settlement,0,75.8,Flagged
493,19744,Policy-Claim Gap,1,72.1,Under Review
494,3721,Rapid Settlement,1,47.9,Flagged
495,7901,Rapid Settlement,1,78.5,Confirmed
496,2091,High Claim Ratio,1,92.7,Flagged
497,16819,Rapid Settlement,0,39.6,Under Review
498,106,Repeat Claimant,0,11.5,Flagged
499,3727,Repeat Claimant,0,36.9,Under Review
500,5024,High Claim Ratio,1,46.9,Cleared
501,12331,Policy-Claim Gap,0,91.1,Flagged
502,10606,Rapid Settlement,0,42.1,Flagged
503,16276,Amount Rounding,0,11.1,Confirmed
504,4929,High Claim Ratio,0,92.3,Under Review
505,6228,Rapid Settlement,0,22.7,Under Review
506,7340,Rapid Settlement,0,7.5,Under Review
507,599,Policy-Claim Gap,1,55.1,Flagged
508,12382,High Claim Ratio,1,42.0,Under Review
509,4472,Rapid Settlement,1,6.8,Confirmed
510,6894,High Claim Ratio,0,99.9,Flagged
511,9514,Repeat Claimant,0,87.9,Under Review
512,2869,High Claim Ratio,1,5.4,Flagged
513,375,Policy-Claim Gap,1,25.2,Flagged
514,17806,Amount Rounding,1,57.1,Cleared
515,5401,Rapid Settlement,1,65.3,Under Review
516,304,High Claim Ratio,1,9.3,Under Review
517,12389,High Claim Ratio,0,55.4,Under Review
518,12929,Amount Rounding,1,98.4,Confirmed
519,404,Repeat Claimant,1,35.1,Flagged
520,14220,Amount Rounding,1,26.0,Flagged
521,671,Amount Rounding,0,68.2,Under Review
522,5904,Repeat Claimant,1,10.5,Under Review
523,10541,Policy-Claim Gap,1,80.9,Flagged
524,8709,Policy-Claim Gap,1,18.0,Cleared
525,230,Repeat Claimant,1,41.1,Flagged
526,12406,Amount Rounding,1,12.0,Flagged
527,13498,Repeat Claimant,0,9.8,Confirmed
528,13203,Repeat Claimant,1,46.0,Confirmed
529,12050,High Claim Ratio,0,53.6,Under Review
530,17535,Policy-Claim Gap,1,23.1,Under Review
531,17555,Amount Rounding,1,31.2,Under Review
532,5232,Rapid Settlement,1,43.1,Under Review
533,19038,Rapid Settlement,1,85.6,Flagged
534,15235,Rapid Settlement,0,98.1,Flagged
535,9118,Repeat Claimant,0,83.2,Confirmed
536,18576,High Claim Ratio,1,65.3,Cleared
537,12353,Repeat Claimant,0,84.9,Flagged
538,410,High Claim Ratio,0,68.1,Confirmed
539,6117,Policy-Claim Gap,1,1.8,Flagged
540,5327,Rapid Settlement,1,73.7,Under Review
541,14526,High Claim Ratio,1,56.0,Flagged
542,5393,Amount Rounding,0,82.0,Cleared
543,6912,Rapid Settlement,0,50.4,Flagged
544,12984,High Claim Ratio,0,89.4,Under Review
545,12707,High Claim Ratio,0,0.4,Under Review
546,7576,High Claim Ratio,0,58.8,Flagged
547,4922,Rapid Settlement,1,87.4,Cleared
548,11473,Rapid Settlement,1,99.3,Flagged
549,2264,Repeat Claimant,1,67.1,Flagged
550,16121,Rapid Settlement,0,7.3,Flagged
